 ,CountryCode,OECDPlasticReg,OECD
Egypt,EGY,World,Non-OECD
Eritrea,ERI,World,Non-OECD
Western Sahara,ESH,World,Non-OECD
Spain,ESP,World,OECD
Estonia,EST,World,OECD
Ethiopia,ETH,World,Non-OECD
Finland,FIN,World,OECD
Fiji,FJI,World,Non-OECD
Falkland Islands (Malvinas),FLK,World,Non-OECD
France,FRA,World,OECD
Faroe Islands,FRO,World,Non-OECD
"Micronesia, Federated States of",FSM,World,Non-OECD
Gabon,GAB,World,Non-OECD
United Kingdom,GBR,World,OECD
Georgia,GEO,World,Non-OECD
Guernsey,GGY,World,Non-OECD
Ghana,GHA,World,Non-OECD
Gibraltar,GIB,World,Non-OECD
Guinea,GIN,World,Non-OECD
Guadeloupe,GLP,World,Non-OECD
Gambia,GMB,World,Non-OECD
Guinea-Bissau,GNB,World,Non-OECD
Equatorial Guinea,GNQ,World,Non-OECD
Greece,GRC,World,OECD
Grenada,GRD,World,Non-OECD
Greenland,GRL,World,Non-OECD
Guatemala,GTM,World,Non-OECD
French Guiana,GUF,World,Non-OECD
Guam,GUM,World,Non-OECD
Guyana,GUY,World,Non-OECD
Hong Kong,HKG,World,Non-OECD
Heard Island and McDonald Islands,HMD,World,Non-OECD
Honduras,HND,World,Non-OECD
Croatia,HRV,World,Non-OECD
Haiti,HTI,World,Non-OECD
Hungary,HUN,World,OECD
Indonesia,IDN,World,Non-OECD
Isle of Man,IMN,World,Non-OECD
India,IND,World,Non-OECD
British Indian Ocean Territory,IOT,World,Non-OECD
Ireland,IRL,World,OECD
"Iran, Islamic Republic of",IRN,World,Non-OECD
Iraq,IRQ,World,Non-OECD
Iceland,ISL,World,OECD
Israel,ISR,World,OECD
Italy,ITA,World,OECD
Jamaica,JAM,World,Non-OECD
Jersey,JEY,World,Non-OECD
Jordan,JOR,World,Non-OECD
Japan,JPN,World,OECD
Kazakhstan,KAZ,World,Non-OECD
Kenya,KEN,World,Non-OECD
Kyrgyzstan,KGZ,World,Non-OECD
Cambodia,KHM,World,Non-OECD
Kiribati,KIR,World,Non-OECD
Saint Kitts and Nevis,KNA,World,Non-OECD
"Korea, Republic of",KOR,World,OECD
Kuwait,KWT,World,Non-OECD
Lao People's Democratic Republic,LAO,World,Non-OECD
Lebanon,LBN,World,Non-OECD
Liberia,LBR,World,Non-OECD
Libya,LBY,World,Non-OECD
Saint Lucia,LCA,World,Non-OECD
Liechtenstein,LIE,World,Non-OECD
Sri Lanka,LKA,World,Non-OECD
Lesotho,LSO,World,Non-OECD
Lithuania,LTU,World,OECD
Luxembourg,LUX,World,OECD
Latvia,LVA,World,OECD
Macao,MAC,World,Non-OECD
Saint Martin (French part),MAF,World,Non-OECD
Morocco,MAR,World,Non-OECD
Monaco,MCO,World,Non-OECD
"Moldova, Republic of",MDA,World,Non-OECD
Madagascar,MDG,World,Non-OECD
Maldives,MDV,World,Non-OECD
Mexico,MEX,World,OECD
Marshall Islands,MHL,World,Non-OECD
"Macedonia, the former Yugoslav Republic of",MKD,World,Non-OECD
Mali,MLI,World,Non-OECD
Malta,MLT,World,Non-OECD
Myanmar,MMR,World,Non-OECD
Montenegro,MNE,World,Non-OECD
Mongolia,MNG,World,Non-OECD
Northern Mariana Islands,MNP,World,Non-OECD
Mozambique,MOZ,World,Non-OECD
Mauritania,MRT,World,Non-OECD
Montserrat,MSR,World,Non-OECD
Martinique,MTQ,World,Non-OECD
Mauritius,MUS,World,Non-OECD
Malawi,MWI,World,Non-OECD
Malaysia,MYS,World,Non-OECD
Mayotte,MYT,World,Non-OECD
Namibia,NAM,World,Non-OECD
New Caledonia,NCL,World,Non-OECD
Niger,NER,World,Non-OECD
Norfolk Island,NFK,World,Non-OECD
Nigeria,NGA,World,Non-OECD
Nicaragua,NIC,World,Non-OECD
Niue,NIU,World,Non-OECD
Netherlands,NLD,World,OECD
Norway,NOR,World,OECD
Nepal,NPL,World,Non-OECD
Nauru,NRU,World,Non-OECD
New Zealand,NZL,World,OECD
Oman,OMN,World,Non-OECD
Pakistan,PAK,World,Non-OECD
Panama,PAN,World,Non-OECD
Pitcairn,PCN,World,Non-OECD
Peru,PER,World,Non-OECD
Philippines,PHL,World,Non-OECD
Palau,PLW,World,Non-OECD
Papua New Guinea,PNG,World,Non-OECD
Poland,POL,World,OECD
Puerto Rico,PRI,World,Non-OECD
"Korea, Democratic People's Republic of",PRK,World,Non-OECD
Portugal,PRT,World,OECD
Paraguay,PRY,World,Non-OECD
"Palestine, State of",PSE,World,Non-OECD
French Polynesia,PYF,World,Non-OECD
Qatar,QAT,World,Non-OECD
Reunion,REU,World,Non-OECD
Romania,ROU,World,Non-OECD
Russian Federation,RUS,World,Non-OECD
Rwanda,RWA,World,Non-OECD
Saudi Arabia,SAU,World,Non-OECD
Sudan,SDN,World,Non-OECD
Senegal,SEN,World,Non-OECD
Singapore,SGP,World,Non-OECD
South Georgia and the South Sandwich Islands,SGS,World,Non-OECD
"Saint Helena, Ascension and Tristan da Cunha",SHN,World,Non-OECD
Svalbard and Jan Mayen,SJM,World,Non-OECD
Solomon Islands,SLB,World,Non-OECD
Sierra Leone,SLE,World,Non-OECD
El Salvador,SLV,World,Non-OECD
San Marino,SMR,World,Non-OECD
Somalia,SOM,World,Non-OECD
Saint Pierre and Miquelon,SPM,World,Non-OECD
Serbia,SRB,World,Non-OECD
South Sudan,SSD,World,Non-OECD
Sao Tome and Principe,STP,World,Non-OECD
Suriname,SUR,World,Non-OECD
Slovakia,SVK,World,OECD
Slovenia,SVN,World,OECD
Sweden,SWE,World,OECD
Swaziland,SWZ,World,Non-OECD
Sint Maarten (Dutch part),SXM,World,Non-OECD
Seychelles,SYC,World,Non-OECD
Syrian Arab Republic,SYR,World,Non-OECD
Turks and Caicos Islands,TCA,World,Non-OECD
Chad,TCD,World,Non-OECD
Togo,TGO,World,Non-OECD
Thailand,THA,World,Non-OECD
Tajikistan,TJK,World,Non-OECD
Tokelau,TKL,World,Non-OECD
Turkmenistan,TKM,World,Non-OECD
Timor-Leste,TLS,World,Non-OECD
Tonga,TON,World,Non-OECD
Trinidad and Tobago,TTO,World,Non-OECD
Tunisia,TUN,World,Non-OECD
Turkey,TUR,World,OECD
Tuvalu,TUV,World,Non-OECD
"Taiwan, Province of China",TWN,World,Non-OECD
"Tanzania, United Republic of",TZA,World,Non-OECD
Uganda,UGA,World,Non-OECD
Ukraine,UKR,World,Non-OECD
United States Minor Outlying Islands,UMI,World,Non-OECD
Uruguay,URY,World,Non-OECD
United States,USA,World,OECD
Uzbekistan,UZB,World,Non-OECD
Holy See (Vatican City State),VAT,World,Non-OECD
Saint Vincent and the Grenadines,VCT,World,Non-OECD
"Venezuela, Bolivarian Republic of",VEN,World,Non-OECD
"Virgin Islands, British",VGB,World,Non-OECD
"Virgin Islands, U.S.",VIR,World,Non-OECD
Viet Nam,VNM,World,Non-OECD
Vanuatu,VUT,World,Non-OECD
Wallis and Futuna,WLF,World,Non-OECD
Samoa,WSM,World,Non-OECD
Yemen,YEM,World,Non-OECD
South Africa,ZAF,World,Non-OECD
Zambia,ZMB,World,Non-OECD
Zimbabwe,ZWE,World,Non-OECD
